N,Case,Algorithm,AvgTime_us,AvgComps
2500,AlmostSorted,Quick3Way,730.571,92391
2500,AlmostSorted,MergeLCP,1455,50779
2500,AlmostSorted,MSDRadix,851.657,0
2500,AlmostSorted,MSDCutoff,220.543,15241
2600,Random,QuickStd,1092.69,386853
2600,Random,MergeStd,2052.79,63712
2600,Random,Quick3Way,290.643,26814
2600,Random,MergeLCP,1820.39,60177
2600,Random,MSDRadix,831.143,0
2600,Random,MSDCutoff,207.886,11129
2600,Reversed,QuickStd,967.514,372536
2600,Reversed,MergeStd,1708.1,36388
2600,Reversed,Quick3Way,789.486,113884
2600,Reversed,MergeLCP,1490.59,29420
2600,Reversed,MSDRadix,881.386,0
2600,Reversed,MSDCutoff,396.157,40828
2600,AlmostSorted,QuickStd,1050.8,394469
2600,AlmostSorted,MergeStd,1918.1,59800
2600,AlmostSorted,Quick3Way,705.543,84936
2600,AlmostSorted,MergeLCP,1585.94,53825
2600,AlmostSorted,MSDRadix,1504.4,0
2600,AlmostSorted,MSDCutoff,245.057,15194
2700,Random,QuickStd,1071.83,387264
2700,Random,MergeStd,2033.19,66819
2700,Random,Quick3Way,317.586,30975
2700,Random,MergeLCP,1872.66,63021
2700,Random,MSDRadix,792.157,0
2700,Random,MSDCutoff,221.429,12092
2700,Reversed,QuickStd,917.229,390978
2700,Reversed,MergeStd,1739.63,37704
2700,Reversed,Quick3Way,914.186,120983
2700,Reversed,MergeLCP,1545.17,30343
2700,Reversed,MSDRadix,895.143,0
2700,Reversed,MSDCutoff,384.771,42389
2700,AlmostSorted,QuickStd,1136.01,411905
2700,AlmostSorted,MergeStd,1842.09,62348
2700,AlmostSorted,Quick3Way,581.786,72671
2700,AlmostSorted,MergeLCP,1600.16,55886
2700,AlmostSorted,MSDRadix,887.843,0
2700,AlmostSorted,MSDCutoff,234.071,15584
2800,Random,QuickStd,1224.47,420492
2800,Random,MergeStd,2279.64,69522
2800,Random,Quick3Way,325.271,31377
2800,Random,MergeLCP,1880.97,65706
2800,Random,MSDRadix,880.629,0
2800,Random,MSDCutoff,251.429,12475
2800,Reversed,QuickStd,1064.91,411447
2800,Reversed,MergeStd,1853.86,39100
2800,Reversed,Quick3Way,882.443,128303
2800,Reversed,MergeLCP,1541.89,31320
2800,Reversed,MSDRadix,945.757,0
2800,Reversed,MSDCutoff,404.757,43780
2800,AlmostSorted,QuickStd,1085.51,424945
2800,AlmostSorted,MergeStd,1972.16,64960
2800,AlmostSorted,Quick3Way,829.271,104565
2800,AlmostSorted,MergeLCP,1733.87,57852
2800,AlmostSorted,MSDRadix,980.243,0
2800,AlmostSorted,MSDCutoff,219.7,16171
2900,Random,QuickStd,1197.71,439233
2900,Random,MergeStd,2281.93,72446
2900,Random,Quick3Way,353.886,31599
2900,Random,MergeLCP,2040.76,68639
2900,Random,MSDRadix,917.843,0
2900,Random,MSDCutoff,234.4,13372
2900,Reversed,QuickStd,1009.07,430804
2900,Reversed,MergeStd,1839.23,40877
2900,Reversed,Quick3Way,1009.17,138413
2900,Reversed,MergeLCP,1724.79,32476
2900,Reversed,MSDRadix,976.057,0
2900,Reversed,MSDCutoff,415.943,45476
2900,AlmostSorted,QuickStd,1156.3,439893
2900,AlmostSorted,MergeStd,2206.36,68301
2900,AlmostSorted,Quick3Way,811.314,106598
2900,AlmostSorted,MergeLCP,1723.49,60921
2900,AlmostSorted,MSDRadix,935.386,0
2900,AlmostSorted,MSDCutoff,239.543,16502
3000,Random,QuickStd,1227.3,448872
3000,Random,MergeStd,2497.61,75393
3000,Random,Quick3Way,383.986,35825
3000,Random,MergeLCP,2073.47,71485
3000,Random,MSDRadix,1171.54,0
3000,Random,MSDCutoff,251.4,13892
3000,Reversed,QuickStd,1197.43,459585
3000,Reversed,MergeStd,1970.34,42639
3000,Reversed,Quick3Way,1055.31,146387
3000,Reversed,MergeLCP,1791.56,33549
3000,Reversed,MSDRadix,962.971,0
3000,Reversed,MSDCutoff,419.9,47279
3000,AlmostSorted,QuickStd,1062.83,449209
3000,AlmostSorted,MergeStd,2162.94,69332
3000,AlmostSorted,Quick3Way,694.786,81194
3000,AlmostSorted,MergeLCP,2086.89,61737
3000,AlmostSorted,MSDRadix,1268.21,0
3000,AlmostSorted,MSDCutoff,339.5,17101
